address,name,rssi,txPower,isConnectable,local_x,local_y,local_z,latitude,longitude,timestamp,rawData
7E:99:35:2B:65:70,,-90,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,7E:99:35:2B:65:70||-90|127|false|UNKNOWN|1|0|255|0|6:AQkgAjQcGoqTvcCMP6WvjdO/rbK/3C1BhQRP||||Hv8GAAEJIAI0HBqKk73AjD+lr43Tv62yv9wtQYUETwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010056
33:D6:7C:E5:FD:C5,,-68,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,33:D6:7C:E5:FD:C5||-68|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010092
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-80,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-80|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010179
33:D6:7C:E5:FD:C5,,-75,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,33:D6:7C:E5:FD:C5||-75|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010193
0D:24:F1:43:F3:99,,-77,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,0D:24:F1:43:F3:99||-77|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010204
33:D6:7C:E5:FD:C5,,-75,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,33:D6:7C:E5:FD:C5||-75|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010295
C9:E9:9D:0E:0C:2A,,-81,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,C9:E9:9D:0E:0C:2A||-81|127|false|UNKNOWN|1|0|255|0|76:EgIAAw==||||B/9MABICAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010327
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-74,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-74|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010355
48:18:0A:9B:45:43,,-68,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.0199999921023846,48:18:0A:9B:45:43||-68|127|false|UNKNOWN|1|0|255|0|76:FggASdgwohaxLA==|||26|AgEaDf9MABYIAEnYMKIWsSwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010357
0D:24:F1:43:F3:99,,-76,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.353333324193954,0D:24:F1:43:F3:99||-76|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010573
33:D6:7C:E5:FD:C5,,-84,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.353333324193954,33:D6:7C:E5:FD:C5||-84|127|false|UNKNOWN|1|0|255|0|6:AQkgIstoioGjPeyh5dfZ70g02Uf/B1d4yJf3||||Hv8GAAEJICLLaIqBoz3soeXX2e9INNlH/wdXeMiX9wAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010507
0D:24:F1:43:F3:99,,-87,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.353333324193954,0D:24:F1:43:F3:99||-87|127|false|UNKNOWN|1|0|255|0|76:CQYDpsCoDGo=|||26|AgEaC/9MAAkGA6bAqAxqAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010388
24:FC:E5:B8:A4:6B,[TV] Samsung 8 Series (75),-77,127,False,0,-0.45,0,39.7221717834473,-105.182640075684,0.353333324193954,24:FC:E5:B8:A4:6B|[TV] Samsung 8 Series (75)|-77|127|false|DUAL|1|0|255|0|117:QgQBgGAk/OW4pGsm/OW4pGoBAAAAAAAA||||G/91AEIEAYBgJPzluKRrJvzluKRqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=|402010514
